customer_id,purchase_date,product,price_usd,rating,age_group,gender,region,purchase_channel,review,year,month,month_name,revenue,rating_label
CUST1000,2023-10-09,Beats Flex,49.99,2,25-34,Male,Europe,Online,Battery drains faster than advertised. Expected better performance.,2023,10,October,49.99,Negative
CUST1001,2024-08-27,Beats Flex,49.99,5,45-54,Male,North America,Online,Best purchase I've made this year. Bass is deep and clear.,2024,8,August,49.99,Positive
CUST1002,2023-01-28,Beats Fit Pro,199.99,3,55+,Male,Middle East,Third-Party Retailer,Average noise cancellation. Works fine in mild environments.,2023,1,January,199.99,Neutral
CUST1003,2023-01-07,Beats Fit Pro,199.99,4,25-34,Non-Binary,Latin America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2023,1,January,199.99,Positive
CUST1004,2023-04-15,Powerbeats Pro,249.99,3,18-24,Female,North America,Apple Store,Build quality feels okay. The case could be better designed.,2023,4,April,249.99,Neutral
CUST1005,2024-04-15,Powerbeats Pro,249.99,4,55+,Male,Latin America,Online,Absolutely love these headphones! The sound quality is incredible.,2024,4,April,249.99,Positive
CUST1006,2024-08-14,Beats Studio Buds+,169.99,4,25-34,Non-Binary,North America,Online,Incredible sound stage. Music feels alive with these on.,2024,8,August,169.99,Positive
CUST1007,2023-03-23,Beats Flex,49.99,3,25-34,Male,Latin America,Apple Store,Build quality feels okay. The case could be better designed.,2023,3,March,49.99,Neutral
CUST1008,2023-06-16,Beats Solo 4,199.99,5,35-44,Female,Europe,Apple Store,Incredible sound stage. Music feels alive with these on.,2023,6,June,199.99,Positive
CUST1009,2024-09-15,Beats Flex,49.99,5,25-34,Non-Binary,Europe,In-Store,Best purchase I've made this year. Bass is deep and clear.,2024,9,September,49.99,Positive
CUST1010,2024-12-02,Beats Solo 4,199.99,4,35-44,Male,Europe,Online,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,199.99,Positive
CUST1011,2023-08-05,Powerbeats Pro,249.99,4,55+,Non-Binary,Asia Pacific,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,8,August,249.99,Positive
CUST1012,2023-05-27,Beats Flex,49.99,4,35-44,Male,Europe,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2023,5,May,49.99,Positive
CUST1013,2024-01-06,Beats Flex,49.99,4,25-34,Male,Middle East,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,1,January,49.99,Positive
CUST1014,2023-06-06,Beats Studio Pro,349.99,5,25-34,Non-Binary,Latin America,Online,Best purchase I've made this year. Bass is deep and clear.,2023,6,June,349.99,Positive
CUST1015,2024-06-25,Beats Solo 4,199.99,4,35-44,Non-Binary,North America,Online,Seamless connection with my iPhone. Switching devices is effortless.,2024,6,June,199.99,Positive
CUST1016,2024-10-18,Beats Flex,49.99,5,35-44,Male,Asia Pacific,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,10,October,49.99,Positive
CUST1017,2024-05-27,Beats Fit Pro,199.99,4,25-34,Non-Binary,North America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2024,5,May,199.99,Positive
CUST1018,2023-06-06,Beats Flex,49.99,4,35-44,Male,Middle East,Online,Battery life is outstanding. Wore them all day with no issues.,2023,6,June,49.99,Positive
CUST1019,2023-04-25,Beats Studio Buds+,169.99,4,35-44,Female,Europe,Online,Absolutely love these headphones! The sound quality is incredible.,2023,4,April,169.99,Positive
CUST1020,2023-03-29,Beats Fit Pro,199.99,5,45-54,Male,Middle East,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,3,March,199.99,Positive
CUST1021,2023-09-29,Beats Fit Pro,199.99,5,55+,Non-Binary,Latin America,In-Store,Premium feel and amazing noise cancellation. Worth every penny.,2023,9,September,199.99,Positive
CUST1022,2024-12-31,Beats Studio Buds+,169.99,5,35-44,Female,Asia Pacific,Third-Party Retailer,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,169.99,Positive
CUST1023,2023-08-19,Beats Studio Buds+,169.99,4,18-24,Female,North America,In-Store,Battery life is outstanding. Wore them all day with no issues.,2023,8,August,169.99,Positive
CUST1024,2024-12-25,Beats Studio Buds+,169.99,3,18-24,Male,North America,Online,Decent headphones for the price. Nothing groundbreaking but solid.,2024,12,December,169.99,Neutral
CUST1025,2023-10-13,Powerbeats Pro,249.99,2,45-54,Male,Middle East,In-Store,Noise cancellation is underwhelming compared to competitors.,2023,10,October,249.99,Negative
CUST1026,2023-09-06,Beats Flex,49.99,5,45-54,Female,Europe,Online,Seamless connection with my iPhone. Switching devices is effortless.,2023,9,September,49.99,Positive
CUST1027,2024-03-09,Beats Studio Pro,349.99,5,45-54,Female,North America,Online,Incredible sound stage. Music feels alive with these on.,2024,3,March,349.99,Positive
CUST1028,2023-04-22,Beats Studio Pro,349.99,4,25-34,Male,Europe,Third-Party Retailer,Incredible sound stage. Music feels alive with these on.,2023,4,April,349.99,Positive
CUST1029,2024-04-18,Beats Fit Pro,199.99,4,25-34,Male,Latin America,Online,The fit is perfect and they're super comfortable for long sessions.,2024,4,April,199.99,Positive
CUST1030,2023-04-06,Beats Studio Pro,349.99,5,25-34,Male,Latin America,Third-Party Retailer,Absolutely love these headphones! The sound quality is incredible.,2023,4,April,349.99,Positive
CUST1031,2023-03-02,Beats Solo 4,199.99,3,25-34,Female,North America,Third-Party Retailer,Good for everyday use. Not the best for professional audio work.,2023,3,March,199.99,Neutral
CUST1032,2023-10-20,Powerbeats Pro,249.99,5,45-54,Non-Binary,Middle East,Third-Party Retailer,Seamless connection with my iPhone. Switching devices is effortless.,2023,10,October,249.99,Positive
CUST1033,2023-03-01,Beats Fit Pro,199.99,3,55+,Non-Binary,Middle East,Online,Sound is good but I expected a bit more bass at this price point.,2023,3,March,199.99,Neutral
CUST1034,2024-08-21,Beats Flex,49.99,4,45-54,Non-Binary,Middle East,In-Store,Absolutely love these headphones! The sound quality is incredible.,2024,8,August,49.99,Positive
CUST1035,2023-07-10,Beats Studio Pro,349.99,5,18-24,Non-Binary,North America,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,7,July,349.99,Positive
CUST1036,2023-09-10,Beats Solo 4,199.99,2,55+,Non-Binary,North America,Online,Customer support was unhelpful when I had a problem with my order.,2023,9,September,199.99,Negative
CUST1037,2023-09-25,Beats Solo 4,199.99,5,25-34,Non-Binary,Asia Pacific,In-Store,Incredible sound stage. Music feels alive with these on.,2023,9,September,199.99,Positive
CUST1038,2024-04-13,Powerbeats Pro,249.99,4,35-44,Male,North America,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,4,April,249.99,Positive
CUST1039,2023-03-17,Beats Studio Buds+,169.99,5,55+,Male,Middle East,Apple Store,Best purchase I've made this year. Bass is deep and clear.,2023,3,March,169.99,Positive
CUST1040,2023-09-08,Beats Fit Pro,199.99,5,35-44,Female,Europe,Third-Party Retailer,Best purchase I've made this year. Bass is deep and clear.,2023,9,September,199.99,Positive
CUST1041,2024-11-14,Beats Studio Buds+,169.99,5,55+,Female,North America,In-Store,Absolutely love these headphones! The sound quality is incredible.,2024,11,November,169.99,Positive
CUST1042,2024-07-20,Powerbeats Pro,249.99,2,25-34,Female,Asia Pacific,In-Store,Disappointed with the build quality. Feels cheap for the price.,2024,7,July,249.99,Negative
CUST1043,2024-06-01,Beats Flex,49.99,4,45-54,Female,North America,Online,The fit is perfect and they're super comfortable for long sessions.,2024,6,June,49.99,Positive
CUST1044,2023-02-15,Beats Flex,49.99,4,18-24,Female,Europe,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2023,2,February,49.99,Positive
CUST1045,2024-07-28,Beats Fit Pro,199.99,5,18-24,Male,North America,In-Store,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,7,July,199.99,Positive
CUST1046,2024-08-19,Beats Studio Buds+,169.99,1,55+,Male,Latin America,In-Store,Had connectivity issues from day one. Very frustrating experience.,2024,8,August,169.99,Negative
CUST1047,2024-01-02,Beats Studio Pro,349.99,4,25-34,Non-Binary,Europe,Online,Absolutely love these headphones! The sound quality is incredible.,2024,1,January,349.99,Positive
CUST1048,2024-09-27,Powerbeats Pro,249.99,5,25-34,Male,Europe,In-Store,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,9,September,249.99,Positive
CUST1049,2023-12-07,Beats Solo 4,199.99,1,45-54,Non-Binary,Europe,Apple Store,Battery drains faster than advertised. Expected better performance.,2023,12,December,199.99,Negative
CUST1050,2024-01-27,Beats Fit Pro,199.99,5,18-24,Female,Europe,In-Store,Best purchase I've made this year. Bass is deep and clear.,2024,1,January,199.99,Positive
CUST1051,2023-08-17,Beats Solo 4,199.99,4,18-24,Non-Binary,Europe,Third-Party Retailer,Battery life is outstanding. Wore them all day with no issues.,2023,8,August,199.99,Positive
CUST1052,2023-10-13,Powerbeats Pro,249.99,3,35-44,Non-Binary,Middle East,Third-Party Retailer,Decent headphones for the price. Nothing groundbreaking but solid.,2023,10,October,249.99,Neutral
CUST1053,2023-01-29,Beats Flex,49.99,5,18-24,Female,Europe,Apple Store,Incredible sound stage. Music feels alive with these on.,2023,1,January,49.99,Positive
CUST1054,2023-12-20,Beats Studio Pro,349.99,2,35-44,Female,Middle East,Online,Returned after a week. The bass is too overpowering for my taste.,2023,12,December,349.99,Negative
CUST1055,2023-09-18,Beats Solo 4,199.99,5,18-24,Non-Binary,Latin America,Online,Battery life is outstanding. Wore them all day with no issues.,2023,9,September,199.99,Positive
CUST1056,2024-01-08,Beats Studio Buds+,169.99,5,45-54,Male,Asia Pacific,Apple Store,Battery life is outstanding. Wore them all day with no issues.,2024,1,January,169.99,Positive
CUST1057,2024-06-03,Beats Flex,49.99,5,35-44,Non-Binary,Latin America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2024,6,June,49.99,Positive
CUST1058,2023-07-16,Beats Solo 4,199.99,5,45-54,Non-Binary,Latin America,In-Store,Premium feel and amazing noise cancellation. Worth every penny.,2023,7,July,199.99,Positive
CUST1059,2024-07-15,Beats Studio Buds+,169.99,4,18-24,Female,Asia Pacific,In-Store,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,7,July,169.99,Positive
CUST1060,2024-04-21,Beats Solo 4,199.99,5,45-54,Female,Europe,Third-Party Retailer,Incredible sound stage. Music feels alive with these on.,2024,4,April,199.99,Positive
CUST1061,2023-10-18,Beats Flex,49.99,3,55+,Non-Binary,Middle East,Apple Store,Decent headphones for the price. Nothing groundbreaking but solid.,2023,10,October,49.99,Neutral
CUST1062,2024-11-19,Beats Studio Pro,349.99,5,35-44,Male,Europe,In-Store,Battery life is outstanding. Wore them all day with no issues.,2024,11,November,349.99,Positive
CUST1063,2024-09-17,Beats Studio Pro,349.99,1,18-24,Female,Latin America,In-Store,Returned after a week. The bass is too overpowering for my taste.,2024,9,September,349.99,Negative
CUST1064,2024-02-14,Beats Flex,49.99,5,25-34,Male,North America,Online,Seamless connection with my iPhone. Switching devices is effortless.,2024,2,February,49.99,Positive
CUST1065,2024-06-14,Beats Solo 4,199.99,3,45-54,Male,Middle East,In-Store,Comfortable enough but the ear cushions get warm after an hour.,2024,6,June,199.99,Neutral
CUST1066,2024-11-14,Beats Studio Pro,349.99,4,55+,Non-Binary,Middle East,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2024,11,November,349.99,Positive
CUST1067,2024-07-15,Beats Solo 4,199.99,4,45-54,Male,Latin America,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,7,July,199.99,Positive
CUST1068,2024-06-17,Powerbeats Pro,249.99,5,45-54,Non-Binary,Europe,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2024,6,June,249.99,Positive
CUST1069,2023-08-29,Beats Solo 4,199.99,2,35-44,Female,Asia Pacific,Online,Had connectivity issues from day one. Very frustrating experience.,2023,8,August,199.99,Negative
CUST1070,2024-12-11,Beats Fit Pro,199.99,3,25-34,Non-Binary,Europe,Online,Good for everyday use. Not the best for professional audio work.,2024,12,December,199.99,Neutral
CUST1071,2024-03-01,Beats Solo 4,199.99,4,18-24,Male,Latin America,Third-Party Retailer,Seamless connection with my iPhone. Switching devices is effortless.,2024,3,March,199.99,Positive
CUST1072,2024-08-12,Beats Studio Buds+,169.99,5,45-54,Female,North America,Apple Store,Absolutely love these headphones! The sound quality is incredible.,2024,8,August,169.99,Positive
CUST1073,2024-07-05,Powerbeats Pro,249.99,5,55+,Non-Binary,Europe,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,7,July,249.99,Positive
CUST1074,2023-01-30,Beats Fit Pro,199.99,3,45-54,Female,Latin America,In-Store,Good for everyday use. Not the best for professional audio work.,2023,1,January,199.99,Neutral
CUST1075,2024-02-08,Beats Solo 4,199.99,5,55+,Non-Binary,North America,Online,Absolutely love these headphones! The sound quality is incredible.,2024,2,February,199.99,Positive
CUST1076,2023-07-06,Beats Flex,49.99,4,18-24,Female,Latin America,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2023,7,July,49.99,Positive
CUST1077,2024-01-24,Beats Fit Pro,199.99,4,35-44,Female,Asia Pacific,Online,Incredible sound stage. Music feels alive with these on.,2024,1,January,199.99,Positive
CUST1078,2023-02-23,Beats Solo 4,199.99,1,35-44,Male,North America,Online,Customer support was unhelpful when I had a problem with my order.,2023,2,February,199.99,Negative
CUST1079,2023-01-21,Beats Studio Pro,349.99,5,55+,Male,Europe,In-Store,Battery life is outstanding. Wore them all day with no issues.,2023,1,January,349.99,Positive
CUST1080,2024-04-21,Beats Solo 4,199.99,5,35-44,Female,Europe,Online,Battery life is outstanding. Wore them all day with no issues.,2024,4,April,199.99,Positive
CUST1081,2024-08-15,Beats Fit Pro,199.99,5,18-24,Female,Middle East,Third-Party Retailer,Best purchase I've made this year. Bass is deep and clear.,2024,8,August,199.99,Positive
CUST1082,2023-03-19,Beats Solo 4,199.99,5,55+,Non-Binary,Europe,Online,Battery life is outstanding. Wore them all day with no issues.,2023,3,March,199.99,Positive
CUST1083,2024-08-02,Beats Flex,49.99,5,18-24,Female,Middle East,Third-Party Retailer,Best purchase I've made this year. Bass is deep and clear.,2024,8,August,49.99,Positive
CUST1084,2023-01-13,Beats Flex,49.99,4,45-54,Female,North America,Third-Party Retailer,Incredible sound stage. Music feels alive with these on.,2023,1,January,49.99,Positive
CUST1085,2024-12-25,Powerbeats Pro,249.99,5,25-34,Female,Europe,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2024,12,December,249.99,Positive
CUST1086,2024-04-21,Beats Studio Buds+,169.99,5,45-54,Non-Binary,Middle East,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2024,4,April,169.99,Positive
CUST1087,2023-10-13,Powerbeats Pro,249.99,5,45-54,Male,Latin America,Third-Party Retailer,Best purchase I've made this year. Bass is deep and clear.,2023,10,October,249.99,Positive
CUST1088,2023-07-06,Powerbeats Pro,249.99,1,45-54,Male,Asia Pacific,Apple Store,Had connectivity issues from day one. Very frustrating experience.,2023,7,July,249.99,Negative
CUST1089,2024-12-19,Powerbeats Pro,249.99,3,35-44,Non-Binary,North America,In-Store,Average noise cancellation. Works fine in mild environments.,2024,12,December,249.99,Neutral
CUST1090,2024-05-15,Beats Studio Pro,349.99,3,55+,Male,Latin America,Third-Party Retailer,Good for everyday use. Not the best for professional audio work.,2024,5,May,349.99,Neutral
CUST1091,2023-10-29,Beats Solo 4,199.99,5,25-34,Female,Europe,Apple Store,Best purchase I've made this year. Bass is deep and clear.,2023,10,October,199.99,Positive
CUST1092,2024-07-20,Beats Flex,49.99,4,55+,Female,Latin America,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2024,7,July,49.99,Positive
CUST1093,2023-11-10,Powerbeats Pro,249.99,5,35-44,Male,North America,In-Store,The fit is perfect and they're super comfortable for long sessions.,2023,11,November,249.99,Positive
CUST1094,2024-12-07,Powerbeats Pro,249.99,2,25-34,Male,Europe,Third-Party Retailer,Customer support was unhelpful when I had a problem with my order.,2024,12,December,249.99,Negative
CUST1095,2023-04-13,Powerbeats Pro,249.99,5,25-34,Female,Europe,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2023,4,April,249.99,Positive
CUST1096,2023-10-08,Beats Fit Pro,199.99,4,18-24,Male,Middle East,Apple Store,Premium feel and amazing noise cancellation. Worth every penny.,2023,10,October,199.99,Positive
CUST1097,2023-04-16,Beats Flex,49.99,5,18-24,Non-Binary,Asia Pacific,Third-Party Retailer,Seamless connection with my iPhone. Switching devices is effortless.,2023,4,April,49.99,Positive
CUST1098,2023-02-22,Beats Solo 4,199.99,4,35-44,Female,North America,Online,Premium feel and amazing noise cancellation. Worth every penny.,2023,2,February,199.99,Positive
CUST1099,2023-06-05,Beats Solo 4,199.99,4,25-34,Non-Binary,Asia Pacific,Online,Absolutely love these headphones! The sound quality is incredible.,2023,6,June,199.99,Positive
CUST1100,2024-09-12,Beats Fit Pro,199.99,2,55+,Non-Binary,Europe,Third-Party Retailer,Returned after a week. The bass is too overpowering for my taste.,2024,9,September,199.99,Negative
CUST1101,2024-08-25,Beats Solo 4,199.99,5,45-54,Female,Middle East,Online,The fit is perfect and they're super comfortable for long sessions.,2024,8,August,199.99,Positive
CUST1102,2023-08-01,Beats Studio Buds+,169.99,5,25-34,Female,North America,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,8,August,169.99,Positive
CUST1103,2023-06-10,Beats Fit Pro,199.99,3,18-24,Female,Latin America,Third-Party Retailer,Decent headphones for the price. Nothing groundbreaking but solid.,2023,6,June,199.99,Neutral
CUST1104,2024-12-24,Powerbeats Pro,249.99,1,35-44,Non-Binary,Latin America,Online,Had connectivity issues from day one. Very frustrating experience.,2024,12,December,249.99,Negative
CUST1105,2024-10-02,Beats Flex,49.99,3,55+,Non-Binary,Europe,Third-Party Retailer,Build quality feels okay. The case could be better designed.,2024,10,October,49.99,Neutral
CUST1106,2023-09-30,Beats Studio Pro,349.99,4,25-34,Male,North America,In-Store,Premium feel and amazing noise cancellation. Worth every penny.,2023,9,September,349.99,Positive
CUST1107,2024-03-25,Powerbeats Pro,249.99,4,18-24,Female,Asia Pacific,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,3,March,249.99,Positive
CUST1108,2024-03-24,Powerbeats Pro,249.99,4,18-24,Non-Binary,North America,Third-Party Retailer,Seamless connection with my iPhone. Switching devices is effortless.,2024,3,March,249.99,Positive
CUST1109,2023-01-27,Beats Flex,49.99,4,18-24,Male,Middle East,Online,The fit is perfect and they're super comfortable for long sessions.,2023,1,January,49.99,Positive
CUST1110,2023-06-29,Beats Flex,49.99,5,45-54,Non-Binary,Latin America,Apple Store,Absolutely love these headphones! The sound quality is incredible.,2023,6,June,49.99,Positive
CUST1111,2024-10-12,Beats Fit Pro,199.99,5,45-54,Male,Latin America,Apple Store,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,10,October,199.99,Positive
CUST1112,2023-06-14,Beats Solo 4,199.99,4,35-44,Female,Latin America,Apple Store,Best purchase I've made this year. Bass is deep and clear.,2023,6,June,199.99,Positive
CUST1113,2024-04-10,Beats Flex,49.99,5,18-24,Female,Asia Pacific,Apple Store,Absolutely love these headphones! The sound quality is incredible.,2024,4,April,49.99,Positive
CUST1114,2024-06-10,Beats Studio Pro,349.99,5,18-24,Non-Binary,Middle East,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,6,June,349.99,Positive
CUST1115,2024-01-06,Beats Solo 4,199.99,2,55+,Female,Latin America,Online,Customer support was unhelpful when I had a problem with my order.,2024,1,January,199.99,Negative
CUST1116,2023-10-22,Beats Fit Pro,199.99,3,45-54,Non-Binary,Latin America,Online,Sound is good but I expected a bit more bass at this price point.,2023,10,October,199.99,Neutral
CUST1117,2024-12-27,Beats Studio Pro,349.99,5,25-34,Female,Middle East,Online,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,349.99,Positive
CUST1118,2023-04-27,Beats Studio Buds+,169.99,4,45-54,Male,Europe,Third-Party Retailer,Battery life is outstanding. Wore them all day with no issues.,2023,4,April,169.99,Positive
CUST1119,2024-03-01,Beats Flex,49.99,4,45-54,Female,Europe,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,3,March,49.99,Positive
CUST1120,2024-09-05,Beats Studio Buds+,169.99,3,55+,Non-Binary,Europe,Online,Sound is good but I expected a bit more bass at this price point.,2024,9,September,169.99,Neutral
CUST1121,2023-12-15,Powerbeats Pro,249.99,5,55+,Female,North America,Apple Store,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2023,12,December,249.99,Positive
CUST1122,2023-06-02,Beats Flex,49.99,4,45-54,Non-Binary,Latin America,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2023,6,June,49.99,Positive
CUST1123,2024-04-11,Powerbeats Pro,249.99,4,35-44,Male,Europe,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,4,April,249.99,Positive
CUST1124,2023-02-14,Beats Fit Pro,199.99,5,35-44,Non-Binary,Latin America,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2023,2,February,199.99,Positive
